RTE,DIST,City,County,State,Country,DESCRIPTION,TOTAL VEHICLE AADT,TOTAL TRUCK COUNTS,PERCENTAGE
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 101",224000,7302,3.26
405,07,LA,Los Angeles County,CA,USA,N/O SHERMAN WAY; SATICOY ST,217000,8919,4.11
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 118",218000,6387,2.93
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 118",154000,6037,3.92
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, RINALDI ST INTERCHANGE",147000,7865,5.35
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 5",147000,5762,3.92
405,07,LA,Los Angeles County,CA,USA,"LONG BEACH, JCT. RTE. 710",281000,12027,4.28
405,07,LA,Los Angeles County,CA,USA,"LONG BEACH, JCT. RTE. 710",294000,13142,4.47
605,07,LA,Los Angeles County,CA,USA,ORANGE/LOS ANGELES COUNTY LINE,170000,8670,5.1
605,07,LA,Los Angeles County,CA,USA,"LAKEWOOD, CARSON ST INTERCHANGE",202000,10302,5.1
605,07,LA,Los Angeles County,CA,USA,"WHITTIER, JCT. RTE. 72",248000,26561,10.71
605,07,LA,Los Angeles County,CA,USA,"WHITTIER, JCT. RTE. 72",240000,25704,10.71
